city,branch_name,address,latitude,longitude
Makati City,"Rufino Esteban","G/F Sage House Condominium 110 V.A Rufino St., Legaspi Village, Brgy. San Lorenzo, Makati City 1229

",,
Makati City,"Dela Rosa Paseo
","109 Paseo de Roxas corner Dela Rosa St., Barangay San Lorenzo, Makati City 1226

",,
Makati City,"Ayala Paseo
","G/F Philamlife Tower, 8767 Paseo de Roxas, Brgy. Bel-Air, Makati City 1200

",,
Makati City,"Buendia Reposo
","G/F ITC Bldg., 337 Sen. Gil Puyat, Brgy. Bel Air, Makati City

",,
Makati City,"Salcedo Tordesillas
","G/F Solar Century Tower, HV Dela Costa corner Tordesillas Sts, Barangay Bel Air, Salcedo Village, Makati City

",,
Makati City,"Alfaro
","G/F LPL Center, 130 L.P. Leviste St., Brgy. Bel-Air, Salcedo Village, Makati City 1227

",,
Makati City,"Bel Air Paseo","54 Jupiter St, Belair Village, Brgy. Bel-Air, Makati City 1209

",,
Makati City,"Salcedo Alfaro
","Unit 102 G/F Grand Tower Cond. 150 LP Leviste St Salcedo Village Makati City 1227

",,
Makati City,"Paseo De Roxas
","Ayala Triangle Gardens Tower 2 Building Paseo de Roxas corner Makati Avenue , Makati City 1209

",,
Makati City,"Bel Air Polaris
","G/F Ventures II Bldg., 51 Polaris St., Bel Air Village, Brgy. Bel-Air, Makati City 1209

",,
Makati City,"Makati Atrium","G/F Atrium of Makati, Makati Avenue, Brgy. Urdaneta, Makati City 1225

",,
Makati City,"Buendia Center
","G/F Buendia Center Bldg., Sen. Gil Puyat Ave., Brgy. Bel-Air, Makati City

",,
Makati City,"Pacific Star
","G/F Pacific Star Bldg Sen. Gil Puyat cor Makati Avenue, Brgy. Bel-Air, Makati City

",,
Makati City,"Salcedo Village
","G/F 88 Corporate Center, Valero cor Sedeno St., Brgy. Bel-Air, Salcedo Village, Makati 1227

",,
Makati City,"Magallanes South
","Lot 6, Block 5, Paseo de Magallanes, Brgy. Magallanes, Makati City 1232

",,
Makati City,"Pasong Tamo Ext. Edsa
","2279 Chino Roces Avenue, Brgy. Magallanes, Makati City 1231
",,
